date,team,opp,mpg,orig_ppg,orig_scaled,opp_orig_scaled,diff_orig,pred_scaled,opp_pred_scaled,diff_pred
2016-11-10,NOP,MIL,242.725,98.45,97.3447316922,107.402139633,10.0574079404,95.978789535,109.561816046,13.583026511
2016-11-10,SAC,LAL,219.68,88.9,97.1230881282,110.896901186,13.773813058,95.546813384,110.534714502,14.9879011178
2016-11-11,BOS,NYK,223.1865,102.7,110.436787171,101.719926725,-8.71686044625,114.032097688,103.751548681,-10.2805490067
2016-11-11,CHO,TOR,204.0,100.5,118.235294118,109.346387586,-8.88890653183,114.52246624,106.168278154,-8.35418808515
2016-11-11,CLE,WAS,244.645,111.5,109.382983507,99.8256222117,-9.55736129506,111.890641311,95.2218721994,-16.6687691113
2016-11-11,DET,SAS,233.045,94.75,97.577721041,93.120698601,-4.45702243996,97.5514489488,92.9022261371,-4.64922281161
2016-11-11,IND,PHI,223.997,99.5,106.60857065,100.090267354,-6.51830329685,108.995802568,97.7248961212,-11.2709064472
2016-11-11,LAC,OKC,235.798333333,103.166666667,105.004983072,105.373137833,0.368154760974,106.950256819,107.44333008,0.493073260846
2016-11-11,NYK,BOS,235.824,99.95,101.719926725,110.436787171,8.71686044625,103.751548681,114.032097688,10.2805490067
2016-11-11,OKC,LAC,212.9575,93.5,105.373137833,105.004983072,-0.368154760974,107.44333008,106.950256819,-0.493073260846
2016-11-11,ORL,UTA,214.159166667,85.5,95.8165850166,91.524172715,-4.29241230162,97.7167834681,93.9104951064,-3.8062883617
2016-11-11,PHI,IND,262.922666667,109.65,100.090267354,106.60857065,6.51830329685,97.7248961212,108.995802568,11.2709064472
2016-11-11,POR,SAC,195.697,87.25,107.002151285,96.4481179106,-10.5540333743,107.706734075,97.8002519836,-9.90648209149
2016-11-11,SAC,POR,240.543833333,96.6666666667,96.4481179106,107.002151285,10.5540333743,97.8002519836,107.706734075,9.90648209149
2016-11-11,SAS,DET,255.3675,99.0833333333,93.120698601,97.577721041,4.45702243996,92.9022261371,97.5514489488,4.64922281161
2016-11-11,TOR,CHO,228.448333333,104.083333333,109.346387586,118.235294118,8.88890653183,106.168278154,114.52246624,8.35418808515
2016-11-11,UTA,ORL,189.676666667,72.3333333333,91.524172715,95.8165850166,4.29241230162,93.9104951064,97.7167834681,3.8062883617
2016-11-11,WAS,CLE,220.785,91.8333333333,99.8256222117,109.382983507,9.55736129506,95.2218721994,111.890641311,16.6687691113
2016-11-12,ATL,PHI,239.800333333,110.3,110.391839878,84.989061454,-25.4027784239,107.463628545,89.4161599888,-18.0474685558
2016-11-12,BOS,IND,196.972,93.35,113.742054708,101.326409051,-12.4156456577,114.192258473,100.618304466,-13.5739540063
2016-11-12,BRK,PHO,209.9625,100.25,114.591891409,111.736058715,-2.85583269459,116.895562393,110.681798715,-6.21376367892
2016-11-12,CHI,WAS,229.3295,105.7,110.618128065,91.122793828,-19.4953342366,109.843568323,92.2705311031,-17.57303722
2016-11-12,DEN,DET,231.9065,103.7,107.319113522,92.3560410899,-14.9630724322,103.970488215,97.3588410363,-6.61164717821
2016-11-12,DET,DEN,233.8775,90.0,92.3560410899,107.319113522,14.9630724322,97.3588410363,103.970488215,6.61164717821
2016-11-12,HOU,SAS,237.3225,100.75,101.886673198,109.320684282,7.43401108386,102.592020836,110.478302945,7.88628210955
2016-11-12,IND,BOS,221.186166667,93.3833333333,101.326409051,113.742054708,12.4156456577,100.618304466,114.192258473,13.5739540063
2016-11-12,LAC,MIN,218.67,102.6,112.608039512,110.409140254,-2.19889925782,111.481141675,108.063934435,-3.41720723969
2016-11-12,LAL,NOP,244.6305,111.65,109.53662769,105.409721938,-4.12690575168,107.486389245,103.186762715,-4.29962653007
2016-11-12,MEM,MIL,219.495,90.75,99.2277728422,103.320549382,4.0927765399,99.5794926136,99.9261757659,0.346683152276
2016-11-12,MIA,UTA,200.128,75.95,91.0817077071,100.466244208,9.38453650097,91.9753526336,102.241031106,10.2656784721
2016-11-12,MIL,MEM,228.8025,98.5,103.320549382,99.2277728422,-4.0927765399,99.9261757659,99.5794926136,-0.346683152276
2016-11-12,MIN,LAC,224.764,103.4,110.409140254,112.608039512,2.19889925782,108.063934435,111.481141675,3.41720723969
2016-11-12,NOP,LAL,244.19,107.25,105.409721938,109.53662769,4.12690575168,103.186762715,107.486389245,4.29962653007
2016-11-12,NYK,TOR,241.6765,105.6,104.867457117,111.811179143,6.94372202554,106.464383684,114.704985532,8.24060184806
2016-11-12,PHI,ATL,239.7485,84.9,84.989061454,110.391839878,25.4027784239,89.4161599888,107.463628545,18.0474685558
2016-11-12,PHO,BRK,233.264,108.6,111.736058715,114.591891409,2.85583269459,110.681798715,116.895562393,6.21376367892
2016-11-12,SAS,HOU,214.122333333,97.5333333333,109.320684282,101.886673198,-7.43401108386,110.478302945,102.592020836,-7.88628210955
2016-11-12,TOR,NYK,202.52,94.35,111.811179143,104.867457117,-6.94372202554,114.704985532,106.464383684,-8.24060184806
2016-11-12,UTA,MIA,230.923333333,96.6666666667,100.466244208,91.0817077071,-9.38453650097,102.241031106,91.9753526336,-10.2656784721
2016-11-12,WAS,CHI,185.332333333,70.3666666667,91.122793828,110.618128065,19.4953342366,92.2705311031,109.843568323,17.57303722
2016-11-13,CHO,CLE,230.309666667,103.566666667,107.924258498,121.939737495,14.0154789966,109.284423073,124.280436001,14.9960129283
2016-11-13,CLE,CHO,204.9865,104.15,121.939737495,107.924258498,-14.0154789966,124.280436001,109.284423073,-14.9960129283
2016-11-13,DEN,POR,225.4505,96.2166666667,102.426031435,105.918503674,3.49247223918,104.785376846,108.086398358,3.30102151278
2016-11-13,GSW,PHO,250.1845,122.9,117.89699202,108.670886989,-9.22610503127,117.083560266,108.860794283,-8.22276598243
